DATE,OPP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,REB,AST,TO,STL,BLK,PF,PTS,PRA,NAME,TEAM
"Thu, Feb 29",@ BKN,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,Trent Forrest,ATL
"Fri, Feb 9",@ PHI,8,0,0,0,0,0,0,0,4,1,0,0,1,0,4,Trent Forrest,ATL
"Sun, Jan 28",vs. TOR,6,0,1,0,1,0,0,0,3,0,0,0,1,0,3,Trent Forrest,ATL
"Wed, Jan 24",@ GSW,15,0,1,0,0,0,0,0,5,1,2,0,1,0,5,Trent Forrest,ATL
"Mon, Jan 22",@ SAC,8,0,3,0,0,0,0,2,1,0,0,0,1,0,3,Trent Forrest,ATL
"Sat, Jan 20",vs. CLE,6,0,1,0,0,0,0,1,0,0,0,0,0,0,1,Trent Forrest,ATL
"Fri, Jan 19",@ MIA,10,1,4,1,2,0,0,1,3,1,0,0,0,3,7,Trent Forrest,ATL
"Mon, Jan 15",vs. SAS,12,1,3,1,1,0,0,3,0,0,0,0,2,3,6,Trent Forrest,ATL
"Sat, Jan 13",vs. WAS,13,1,4,0,0,2,4,2,1,2,1,0,1,4,7,Trent Forrest,ATL
"Fri, Jan 12",vs. IND,20,2,5,0,0,0,0,0,6,1,1,0,0,4,10,Trent Forrest,ATL
"Wed, Jan 10",vs. PHI,19,2,3,0,1,0,0,5,3,0,0,0,3,4,12,Trent Forrest,ATL
"Fri, Jan 5",@ IND,14,2,4,0,1,2,2,2,2,2,1,0,0,6,10,Trent Forrest,ATL
"Wed, Jan 3",vs. OKC,14,3,3,0,0,0,0,2,2,0,0,1,3,6,10,Trent Forrest,ATL
"Tue, Dec 26",@ CHI,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trent Forrest,ATL
"Sat, Dec 16",@ CLE,7,0,2,0,0,0,0,3,0,1,1,0,0,0,3,Trent Forrest,ATL
"Fri, Dec 15",@ TOR,11,0,4,0,1,0,0,3,4,0,1,0,1,0,7,Trent Forrest,ATL
"Fri, Dec 8",@ PHI,13,2,5,0,0,2,2,1,1,1,0,0,2,6,8,Trent Forrest,ATL
"Tue, Nov 28",@ CLE,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Trent Forrest,ATL
"Sat, Nov 25",@ WAS,9,1,2,0,0,0,0,0,2,1,0,0,1,2,4,Trent Forrest,ATL
"Tue, Nov 14",@ DET,13,0,1,0,0,2,2,1,4,0,0,0,0,2,7,Trent Forrest,ATL
"Sun, Oct 29",@ MIL,5,0,0,0,0,0,0,0,1,0,0,0,1,0,1,Trent Forrest,ATL
"Thu, Feb 29",@ BKN,30,2,9,0,2,2,2,5,3,0,0,0,1,6,14,Saddiq Bey,ATL
"Tue, Feb 27",vs. UTH,30,4,11,2,6,6,6,7,0,1,0,0,0,16,23,Saddiq Bey,ATL
"Sun, Feb 25",vs. ORL,35,5,11,2,5,0,0,2,1,2,1,0,1,12,15,Saddiq Bey,ATL
"Fri, Feb 23",vs. TOR,34,6,15,4,7,2,2,9,1,0,0,0,0,18,28,Saddiq Bey,ATL
"Wed, Feb 14",@ CHA,32,5,13,2,5,2,2,4,1,1,0,1,0,14,19,Saddiq Bey,ATL
"Mon, Feb 12",vs. CHI,32,5,11,0,5,1,2,5,3,0,0,0,1,11,19,Saddiq Bey,ATL
"Sat, Feb 10",vs. HOU,39,8,15,4,9,4,4,6,3,1,1,1,1,24,33,Saddiq Bey,ATL
"Fri, Feb 9",@ PHI,34,4,11,2,5,8,8,11,1,0,1,0,1,18,30,Saddiq Bey,ATL
"Wed, Feb 7",@ BOS,36,9,16,4,7,3,4,9,1,0,1,0,1,25,35,Saddiq Bey,ATL
"Mon, Feb 5",vs. LAC,33,5,8,3,6,5,5,5,0,1,1,0,1,18,23,Saddiq Bey,ATL
